Var1	Freq
CYP1A1	501
CYP1B1	120
IL22	80
CYP1A2	70
ESR1	58
Ahrr	51
IDO1	49
ARNT	40
CYP4F3	38
GABPA	28
NFE2L2	26
IL6	25
ABCG2	22
NQO1	22
CYP2B6	20
PPARA	19
IL17A	18
PTGS2	18
IL10	17
TP53	17
CXCL8	14
PPIG	14
UGT1A10	14
PHB2	13
BRCA1	12
MITF	12
PPIB	12
TGFB1	12
IL2	11
FOXP3	10
TIPARP	10
AIP	9
CCL2	9
MAPK1	9
RELA	9
UGT1A6	9
CD4	8
FOS	8
IDO2	8
MAATS1	8
SP1	8
Ugt1a1	8
CDKN1A	7
HIF1A	7
MUC5AC	7
RB1	7
RELB	7
TDO2	7
Abcc4	6
AKT1	6
androgen receptor	6
CCND1	6
CDKN1B	6
EBI3	6
ENTPD1	6
FGF21	6
HSP90AB1	6
IL4	6
INS	6
LTBP1	6
NCOA7	6
POU5F1	6
SOCS2	6
ATP6AP2	5
BACH2	5
CCNO	5
CYP19A1	5
CYP2S1	5
GSTM1	5
HSP90AA1	5
IGFBP1	5
IL18R1	5
IL27	5
MMP9	5
NOS2	5
PTGES3	5
STAT3	5
TARDBP	5
TNF	5
tyrosine hydroxylase	5
VEGFA	5
ABCB1	4
ALDH3A1	4
ARNTL	4
C21orf33	4
CAV1	4
COX2	4
CYP27B1	4
CYP3A4	4
DLX3	4
EDN1	4
FSHR	4
HESX1	4
ID3	4
IFNG	4
IL13	4
IL23A	4
JUN	4
MIR4501	4
NELFCD	4
NFATC1	4
NFKB1	4
NLRP3	4
NR1I3	4
OVOL1	4
PER1	4
SOS1	4
STAT1	4
STAT5B	4
UBE2L3	4
VAV3	4
ALDH1A1	3
ATP6V1E1	3
BAX	3
CALCOCO1	3
CAT	3
cbr1	3
CCL1	3
CCL18	3
CD40LG	3
CDK4	3
coagulation factor III, tissue factor	3
CPS1	3
CXCL5	3
EGFR	3
EPAS1	3
EPO	3
EREG	3
F630028O10Rik	3
FASLG	3
FLG	3
HRAS	3
IGF2	3
IL10RA	3
IL25	3
JUP	3
LAT	3
LOC694944	3
MAPK8	3
MT2A	3
MYC	3
MYCN	3
NDRG1	3
NEDD9	3
NFASC	3
NR0B2	3
NR3C1	3
PARP1	3
PDE2A	3
PKM	3
POLK	3
PTK2	3
RSPO2	3
RUNX3	3
SCIN	3
SELL	3
SESN2	3
SLC13A5	3
SLC35A2	3
SNAI2	3
SOD2	3
SPP1	3
THBS1	3
UGT1A8	3
USF1	3
ACHE	2
ADM	2
ATF4	2
BCL11B	2
BCL2	2
BCL6	2
BDNF	2
BDNF-AS	2
BLNK	2
BNIP3	2
CD28	2
CD36	2
CDKN2A	2
CREG1	2
CTAG2	2
CXCR4	2
CYGB	2
CYP1B1-AS1	2
CYP3A5	2
Cyp3a9	2
DNMT1	2
E2F1	2
EGLN1	2
EWSR1	2
FAS	2
FGFR2	2
FLT1	2
FMO4	2
FOXA1	2
FOXQ1	2
FSCN1	2
FSHB	2
FXYD1	2
GALNT3	2
GDF5	2
GHR	2
GRIN2A	2
GSK3B	2
GSTA1	2
GSTA2	2
HAMP	2
haptoglobin	2
HDAC8	2
HMGCR	2
HMOX1	2
IL12B	2
IL18RAP	2
IL2RA	2
IL4R	2
INSIG1	2
KCNMB1	2
KIT	2
MAMU-DMA	2
MAPK14	2
MAPK3	2
MDM2	2
MMP1	2
MSI2	2
MSTN	2
NANOG	2
NANOGP8	2
NCAM1	2
NCF1	2
NCOA1	2
NCOR2	2
NDUFA5	2
NEDD8	2
NOS3	2
NPPB	2
NR2E3	2
NRIP1	2
NSDHL	2
OSM	2
PAIP2	2
PCK1	2
PCNA	2
PDCD1LG2	2
PHGDH	2
PIK3CG	2
POMC	2
PON1	2
PRL	2
PSIP1	2
PTGES	2
RACK1	2
RARA	2
RORC	2
RSF1	2
RSPO1	2
S1PR3	2
SCARB1	2
SDCBP	2
SERPINB2	2
SF1	2
SH3D19	2
SIN3A	2
SLC3A2	2
SLC7A5	2
SLPI	2
SMAD7	2
SNORA62	2
sox9b	2
SPNS1	2
SRC	2
STC2	2
STUB1	2
TBX21	2
TBXAS1	2
TCF4	2
TERT	2
TNFRSF9	2
TWSG1	2
TYR	2
TYROBP	2
Ugt1a2	2
UGT1A7	2
UGT1A9	2
URI1	2
VEGFD	2
WNT3A	2
WNT5A	2
WT1	2
XDH	2
ZIC3	2
AADAC	1
ABCB6	1
ABCC1	1
ABCC3	1
ACTA2	1
ADAR	1
AHR	1
ahr2	1
AKR1B1	1
AKR7A2P1	1
ALB	1
ALDOA	1
AMIGO2	1
ANC	1
APOA1	1
AQP3	1
AREG	1
ARG2	1
ARID1A	1
ATCAY	1
ATF3	1
ATP12A	1
ATP5I	1
ATPIF1	1
BORCS8-MEF2B	1
BRD2	1
BTBD6	1
C4A	1
CA3	1
CALCA	1
CAMK1	1
CAMK4	1
CAMKK2	1
CAPN10	1
CARD11	1
CASP1	1
CASP3	1
CBL	1
CBR3	1
CCL22	1
CCL5	1
CCR5	1
CD38	1
CD3E	1
CD69	1
CD83	1
CD8A	1
CD9	1
CDH13	1
CDK1	1
CDK5RAP1	1
CES3	1
CFLAR	1
CFTR	1
CGB5	1
CHEK1	1
CLDN7	1
cpx	1
CREBBP	1
CRH	1
CRP	1
CSF3	1
CSNK2A2	1
CTSD	1
CXADR	1
CXCL2	1
CYBB	1
CYP11B1	1
CYP11B2	1
cyp1d1	1
CYP1D1P	1
CYP2C9	1
CYP2E1	1
CYP2W1	1
CYP7A1	1
DBA2	1
DDT	1
DDX50	1
DKK1	1
DKK3	1
DNLZ	1
DOC2A	1
DUOX2	1
EBF1	1
EBP	1
EEF1A1	1
EGF	1
EGR1	1
EP300	1
EPGN	1
ERVFRD-1	1
ERVW-4	1
FAT1	1
FBXO32	1
FCAR	1
FCER2	1
FGF2	1
FGF23	1
fig	1
FIG4	1
Flg	1
FLT3	1
FMO3	1
FOXK1	1
FPR2	1
Fpr3	1
FST	1
Gal	1
GAPDH	1
GATA2	1
GATA3	1
GCLC	1
GFI1	1
GGTA1P	1
GHRHR	1
GNA13	1
GPX1	1
GPX2	1
GRXCR1	1
GZMB	1
HCLS1	1
HDAC6	1
HDAC9	1
HDC	1
HELZ2	1
HES1	1
HLA-DRB4	1
HPGDS	1
HRK	1
HSD17B4	1
HSPB2	1
ID1	1
ID2	1
IFI27	1
IFN1@	1
IGFBP4	1
IGKV1-16	1
IKZF3	1
IL15	1
IL17D	1
IL17F	1
IL18	1
IL1B	1
IL1F10	1
IL1R2	1
IL24	1
IL33	1
IL36G	1
IL5	1
IL9	1
INSM1	1
Ir64a	1
IRF8	1
ITGAM	1
ITK	1
IVNS1ABP	1
JAG1	1
Jund	1
jun.L	1
KAT5	1
KCNA2	1
KCNJ8	1
KCNT2	1
KDM1A	1
KDR	1
KIAA1549	1
klf2a	1
KMO	1
KNG1	1
Lats2	1
LCK	1
LEPR	1
LGALS1	1
LHCGR	1
LIFR	1
LOC711810	1
LPL	1
LTB4R	1
LTC4S	1
LY6E	1
LYN	1
MAP2K7	1
MARCH8	1
MGST1	1
MID1	1
MIR107	1
MIR132	1
MIR212	1
MIR24-1	1
MIR29B1	1
MIR375	1
Mt1	1
MTA2	1
MTOR	1
NCOA2	1
NFIC	1
NOS1	1
NPC1	1
NPTX1	1
NPY6R	1
NR1H3	1
NR1H4	1
NRAS	1
NUP54	1
Oas1b	1
OMP	1
Or22a	1
PAEP	1
PAX5	1
PCK2	1
PDGFD	1
PDS5B	1
PGR	1
PIK3CB	1
PIWIL1	1
PIWIL2	1
PLA2G4A	1
PLAT	1
PLK1	1
PNPLA7	1
POLR2A	1
POR	1
POU2F1	1
PPARGC1A	1
PPIA	1
PPP1R14A	1
PRDM1	1
PRDX1	1
PRKAB1	1
PSAP	1
PSMB5	1
PSMD4	1
PSMD9	1
PTGR1	1
RBFOX2	1
REL	1
REN	1
RFC3	1
RHOA	1
RPAIN	1
RSPO3	1
RXRB	1
SCD	1
SERPINE1	1
SGK1	1
SH3KBP1	1
SIM1	1
SIM2	1
SIRT1	1
SLC10A1	1
SLC25A5	1
SLC30A9	1
SLC35A3	1
SLC39A14	1
SLC9A1	1
SLCO1A2	1
SMAD3	1
SMC1A	1
SMO	1
SOCS3	1
SOD1	1
SORL1	1
SOX4	1
SOX9	1
SPG21	1
SPRED1	1
SPRR2D	1
SPTLC1	1
SRXN1	1
STAR	1
TAGLN3	1
TCF21	1
TCHP	1
TFF1	1
TGFBI	1
TGM1	1
TIPARP-AS1	1
TJP1	1
TMEM5	1
TNFSF11	1
TNFSF15	1
TNFSF9	1
Trap1a	1
TTR	1
TXNRD1	1
TYRP1	1
UCP2	1
UCP3	1
UGT1A4	1
USE1	1
USP18	1
VDAC2	1
VEGFB	1
WDFY1	1
WNT16	1
XRCC6	1
YWHAE	1
